  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2324                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.050 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.8148   0.01487   0.00688  -0.0566   0.0500   0.1063
  -9.000  -0.7364   0.01410   0.00606  -0.0509   0.0500   0.1171
  -8.000  -0.6580   0.01351   0.00545  -0.0448   0.0500   0.1312
  -7.000  -0.5659   0.01303   0.00495  -0.0410   0.0500   0.1476
  -6.000  -0.4705   0.01259   0.00452  -0.0378   0.0500   0.1683
  -5.000  -0.3719   0.01226   0.00421  -0.0351   0.0500   0.1927
  -4.000  -0.2718   0.01199   0.00398  -0.0327   0.0500   0.2225
  -3.000  -0.1715   0.01174   0.00381  -0.0303   0.0500   0.2610
  -2.000  -0.0726   0.01146   0.00369  -0.0277   0.0500   0.3203
  -1.000   0.0252   0.01119   0.00369  -0.0249   0.0500   0.4085
   0.000   0.1261   0.01122   0.00384  -0.0227   0.0500   0.4695
   1.000   0.2262   0.01138   0.00409  -0.0203   0.0500   0.5211
   2.000   0.3189   0.01162   0.00441  -0.0166   0.0500   0.5700
   3.000   0.4131   0.01203   0.00492  -0.0134   0.0500   0.6216
   4.000   0.5091   0.01260   0.00560  -0.0109   0.0500   0.6786
   5.000   0.6022   0.01325   0.00645  -0.0081   0.0500   0.7527
   6.000   0.6925   0.01411   0.00751  -0.0052   0.0500   0.8208
   7.000   0.7780   0.01523   0.00882  -0.0018   0.0500   0.8879
   8.000   0.8540   0.01669   0.01044   0.0030   0.0500   0.9527
   9.000   0.9448   0.01869   0.01246   0.0037   0.0500   0.9925
  10.000   1.0396   0.02113   0.01490   0.0021   0.0500   1.0000
  11.000   1.0955   0.02397   0.01777   0.0069   0.0500   1.0000
  12.000   1.1552   0.02764   0.02149   0.0095   0.0500   1.0000
  13.000   1.2090   0.03224   0.02617   0.0114   0.0500   1.0000
  14.000   1.2546   0.03795   0.03200   0.0128   0.0500   1.0000
  15.000   1.2902   0.04496   0.03915   0.0136   0.0500   1.0000
